item_id,case_id,subsystem,failure_mode,effect,cause,rpn,evidence_trace,support_class,source_basis_summary,source_note,inference_boundary,remains_unverified,reader_check
M4-004,primary_e_scooter_mechanical_braking,Cable or hydraulic path,Cable anchor slips or detaches,Sudden severe loss of braking force,Insufficient clamp torque missing retainer poor assembly,216,S01;engineering_inference:S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,Public micromobility hazard context supports brake attachment / cable-path concern; construction-standard material supports treating force-path retention as design-review relevant.,"Clamp torque, positive retention, and assembly poka-yoke are engineering extensions from force-path reasoning.","Actual failure frequency, exact clamp design, and mitigation effectiveness.",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
M4-006,primary_e_scooter_mechanical_braking,Cable or hydraulic path,Intermittent cable or linkage movement,Sporadic brake engagement and unpredictable deceleration,Kinked cable sticking linkage housing contamination,192,S01;engineering_inference:S03,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S03: EN 17128:2020 terminology preview,Public hazard context supports intermittent braking / control-loss concern; terminology source supports braking-response boundary.,"Kinked cable, sticking linkage, and contamination mechanisms are candidate mechanical explanations.",Specific root cause in any product and calibrated S/O/D ratings.,inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
M4-012,primary_e_scooter_mechanical_braking,Brake pads,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,Inadequate compound heat buildup insufficient rotor heat capacity,224,engineering_inference:S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,Construction-standard material supports treating repeated braking and brake performance as design-review context.,"Thermal fade mechanism, lining material recommendation, and temperature-grade action are engineering-inference items.","Thermal load, pad material data, stopping distance, and fade threshold.",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
M4-015,primary_e_scooter_mechanical_braking,Mounting hardware,Caliper bolt loosens or retaining fastener backs out,Caliper shift misalignment or severe braking loss,Vibration insufficient torque no locking feature,189,S01;engineering_inference:S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,Public micromobility hazard context and construction-standard material support retaining brake mounting hardware inside the review boundary.,"Thread-locking, torque marking, and pack-out verification are design-control inferences.","Fastener design, vibration spectrum, and durability performance.",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
M4-018,primary_e_scooter_mechanical_braking,Wheel-level braking response,Brake engages too aggressively or unexpectedly,Wheel lock skid and rider fall,Poor modulation sticking mechanism excessive leverage,192,S01;engineering_inference:S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,Public hazard context supports abrupt or unexpected brake engagement as a rider-control concern.,"Lever ratio, pad friction, and wheel-lock tendency are mechanism-level hypotheses to be checked by an engineer.","Wheel-lock dynamics, rider response, friction curve, and stopping-distance behavior.",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
C2-M4-004,transfer_bicycle_ebike_mechanical_disc_brake,Cable fixing interface,Cable anchor slips or cable strands are damaged at fixing bolt,Sudden severe reduction or loss of braking force,Insufficient cable fixing torque poor clamp geometry or strand cutting,240,B3;B4,direct or close source-translation support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,"Bicycle braking regulation and mechanical disc brake manual support cable anchoring, cable condition, and torque/assembly checks.",Positive cable retention and strand-damage inspection are design/control refinements.,"Actual clamp geometry, strand damage rate, and field occurrence.",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
C2-M4-006,transfer_bicycle_ebike_mechanical_disc_brake,Caliper actuator arm,Actuator arm over-rotates and dislocates caliper parts,Lack of braking and loss of control,Mechanical stop weakness tolerance stack-up or overload at actuator arm,160,B2,direct or close source-translation support,B2: CPSC Tektro/TRP Spyre mechanical disc brake caliper recall,The TRP/Tektro recall directly supports actuator-arm over-rotation and caliper-part dislocation as a mechanical disc brake failure mechanism.,Travel-stop verification and containment feature are proposed engineering controls.,Applicability to non-recalled calipers and mitigation performance.,inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
C2-M4-007,transfer_bicycle_ebike_mechanical_disc_brake,Mechanical caliper,Mechanical disc brake caliper fails to clamp pads as commanded,Loss of braking power and crash risk,Internal caliper defect seized mechanism or failed linkage,240,B1;B2,direct or close source-translation support,B1: CPSC Lectric e-bike mechanical disc brake caliper recall | B2: CPSC Tektro/TRP Spyre mechanical disc brake caliper recall,"Two CPSC recall sources support caliper failure, loss of braking power, and loss-of-control effects.","Supplier screening, proof test, and recall traceability are quality-control recommendations.","Failure rate, supplier process capability, and root-cause distribution.",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
C2-M4-013,transfer_bicycle_ebike_mechanical_disc_brake,Friction interface,Oil or grease contaminates disc rotor or brake pads,Brake does not work correctly or braking becomes inconsistent,Lubricant overspray cleaning residue or handling contamination,192,B4,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,Mechanical disc brake manual supports treating oil/grease contamination of rotor or pads as a direct maintenance and performance concern.,Cleaning protocol and friction-material handling procedure are control extensions.,"Contamination probability, friction degradation magnitude, and cleaning effectiveness.",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
C2-M4-018,transfer_bicycle_ebike_mechanical_disc_brake,Assembly verification,Final brake function and rotor-interference check is omitted,Latent cable pad or caliper defect reaches rider,Skipped service step time pressure or missing checklist,189,B3;B4,direct or close source-translation support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,"Bicycle braking regulation and mechanical disc brake manual support final brake attachment, adjustment, and rotor-interference checks.",End-of-line checklist design and functional verification scope are workflow-level inferences.,Whether a specific assembly process omits the check and whether added checks reduce defects.,inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
